 ,PARTNERNR,last_name,first_name,TEL_PORTAL_MOBIL,EMAIL_PORTAL,GEB_D,GESCHLECHT,SPRACHE,STRASSE,HAUSNUMMER,PLZ,ORT,LAND,ZAHLUNGSPROFIL,ZAHLUNGSMITTEL_INKASSO ,ZAHLUNGSADRESSETYP_INKASSO,BANK_INKASSO,ZAHLUNGSMITTEL_EXKASSO,ZAHLUNGSADRESSETYP_EXKASSO,BANK_EXKASSO,GRUNDVERSICHERUNG_MODELL,PRODUKT,PRODUKT_PORTFOLIO,GESETZ,PRODUKTEPRÄMIE,GESAMTPRÄMIE,HAUSARZT,FRANCHISE
5599903,100428567,Piettre,Lagou Kirt,,,9/2/1984,m,FR,Schulgasse,11,4057,Basel,CH,,,,,,,,Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,TOP,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,TOP,","KVGO,VVG,VVG,","418.25,3.1,18.2,",439.55,,2500
5599903,100428568,Piettre,Jordan Miguel Stéphane,,,1/2/2019,m,FR,Schulgasse,11,4057,Basel,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Unfall,PRIMEO,","Helsana BeneFit PLUS Hausarzt,COMPLETA,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare EXTRA,PREVEA Unfall,PRIMEO,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","138.85,29.55,10.35,13.1,0,4.5,5.45,",201.8,A158412 Burdet Laurent,0
5599903,101186268,Piettre,Elmas,,,1/23/2022,m,FR,Schulgasse,11,4057,Basel,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"COMPLETA,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","Helsana BeneFit PLUS Hausarzt,COMPLETA,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,","138.85,29.55,1.05,0,4.5,",173.95,A158412 Burdet Laurent,0
6474764,6474764,Jusmani,Alan,41984795922,Alan.Jusmani@mymail.com,10/31/1944,m,DE,Katzenstrickstrasse,12A,8840,Einsiedeln,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BASIS Standard,"CURA,HOSPITAL Privat,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,CURA,HOSPITAL Privat,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","525.65,56.45,506.65,14.3,19.75,29.4,",1152.2,  ,300
6474764,6474799,Morsi,Leor,,,3/26/1958,w,DE,Katzenstrickstrasse,12A,8840,Einsiedeln,CH,,,,,,,,Helsana BASIS Standard,"HOSPITAL Privat,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,HOSPITAL Privat,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","525.65,326.65,12.9,26,25.7,",916.9,  ,300
6474764,6474802,Leuzinger,Susy Annemarie,41985759101,Susy@mymail.com,5/28/1989,w,DE,Katzenstrickstrasse,12A,8840,Einsiedeln,CH,,,,,,,,Helsana BASIS Standard,"DENTAplus,HOSPITAL Halbprivat,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,DENTAplus,HOSPITAL Halbprivat,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","525.65,23.95,81.5,7.35,16,26,14.7,",695.15,  ,300
6474764,6474829,Morsi,Ulrich,,,1/26/1991,m,DE,Katzenstrickstrasse,12A,8840,Einsiedeln,CH,,,,,,,,Helsana BASIS Standard,"DENTAplus,HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,DENTAplus,HOSPITAL PLUS,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","488.55,20.05,56,7.35,19.3,19.75,12.3,",623.3,  ,300
8115419,8115419,Randall,Micheline,41987182590,Micheline.Randall@mymail.com,6/17/1976,w,FR,Rue Centrale,14,1022,Chavannes-près-Renens,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"SANA,TOP,","Helsana BeneFit PLUS Hausarzt,SANA,TOP,","KVGO,VVG,VVG,","449.65,31.35,26.25,",507.25,D393922 Steiner Anne-Sylvie,1000
10045529,10045529,Palser,Dominik,,,6/25/1945,m,DE,Parkweg,5,5610,Wohlen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"HOSPITAL PLUS BONUS,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL PLUS BONUS,SANA,TOP,","KVGO,VVG,VVG,VVG,","449.45,296.25,23.8,35.45,",804.95,Q064419 Biehle Orest,500
10045850,10045850,Kemal,Jenniffer,,,7/8/1962,w,DE,Parkweg,5,5610,Wohlen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Bonus,"HOSPITAL Privat,SANA,TOP,","Helsana BASIS Bonus,HOSPITAL Privat,SANA,TOP,","KVGO,VVG,VVG,VVG,","292.95,136.4,26,21.45,",476.8,  ,300
10045850,10045851,Okanovic,Senad,,,9/9/1990,m,DE,Parkweg,5,5610,Wohlen,CH,,,,,,,,,"HOSPITAL ECO,SANA,TOP,","HOSPITAL ECO,SANA,TOP,","VVG,VVG,VVG,","3.05,19.75,12.3,",35.1,  ,
10045850,20113251,Kemal,Hedwig,41982323890,Hedwig.Kemal@mymail.com,8/24/1997,w,DE,Parkweg,5,5610,Wohlen,CH,,,,,,,,,"HOSPITAL ECO,SANA,TOP,","HOSPITAL ECO,SANA,TOP,","VVG,VVG,VVG,","3.05,26,13.75,",42.8,  ,
10165822,100361412,Grosjean,Nadine,,,1/2/2019,w,DE,Challerenweg,1,4303,Kaiseraugst,CH,,,,,,,,Helsana BASIS Standard,"COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","Helsana BASIS Standard,COMPLETA,DENTAplus,HOSPITAL ECO,Helsana Advocare EXTRA,PREVEA Unfall,","KVGO,VVG,VVG,VVG,VVG,VVG,","127.15,26.8,13,1.1,0,4.5,",172.55,  ,0
10165822,101151808,Paramasingam,Gunalingam,,,2/28/1982,m,DE,Challerenweg,1,4303,Kaiseraugst,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","448.15,",448.15,J079413 Tas Seyit,300
10254860,10254860,Zangana,Jwan Ali Ibrahim,,,10/19/1969,w,DE,Farbgasse,3,3770,Zweisimmen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL ECO,SANA,TOP,","Helsana BASIS Standard,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","485.75,4.3,31.35,21.45,",542.85,  ,300
10261384,10261384,Kotlik,Monika,,,5/17/1980,w,DE,Birkenweg,10,6252,Dagmersellen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,,"DENTAplus,HOSPITAL PLUS BONUS,PREVEA Unfall,SANA,TOP,","DENTAplus,HOSPITAL PLUS BONUS,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,","27.6,110.9,9.95,29.15,17.2,",194.8,  ,0
10302237,10302237,Remund-Atanassova,Rahel,,,6/5/1943,w,DE,Hombergweg,10,5102,Rupperswil,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"TOP,","Helsana BeneFit PLUS Hausarzt,TOP,","KVGO,VVG,","482.25,40.35,",522.6,G314319 Mobile Heimarztpraxis ,300
10339594,10339594,Jossen,Mariana,,,4/20/1935,w,DE,Enetbachstrasse,1,3507,Biglen,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"TOP,","Helsana BeneFit PLUS Hausarzt,TOP,","KVGO,VVG,","457.95,40.35,",498.3,Q617802 Hausärzte Biglen AG ,300
10372993,10372993,Leku,Madeleine,,,10/23/1943,w,FR,Chemin des Crêts-de-Champel,29,1206,Genève,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"COMPLETA,HOSPITAL COMFORT BONUS,","Helsana BASIS Standard,COMPLETA,HOSPITAL COMFORT BONUS,","KVGO,VVG,VVG,","659.05,98.85,629,",1386.9,  ,500
10384707,10384707,Tarca,Nelson,,,9/24/1952,m,FR,Rue de la Coupe Gordon-Bennett,2C,1219,Le Lignon,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"HOSPITAL PLUS BONUS,PREVEA Unfall,SANA,TOP,","Helsana BASIS Standard,HOSPITAL PLUS BONUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","670.65,369.3,8.3,22.15,32.95,",1103.35,  ,300
10461742,10461742,Konrad,Wolfgang,41984327154,Wolfgang.Konrad@mymail.com,1/16/1935,m,DE,Gishubel,2,6156,Luthern,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","497.65,",497.65,  ,300
10498653,10498653,Heubach,Pia,41989762118,Pia.Heubach@mymail.com,4/12/1955,w,FR,Rue des Acacias,5,2000,Neuchâtel,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BASIS Standard,"SANA,TOP,","Helsana BASIS Standard,SANA,TOP,","KVGO,VVG,VVG,","594.05,31.35,30.95,",656.35,  ,500
10525518,10525518,Da Silva Doeijo,Amanda,,,5/24/1987,w,DE,Spitalstrasse,75,6004,Luzern,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),,"PREVEA Unfall,","PREVEA Unfall,","VVG,","7.75,",7.75,  ,
10534582,10534582,Anneler,Heidi,,,8/30/1936,w,DE,Bürenweg,5,4500,Solothurn,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","486.25,15.85,31.35,40.35,",573.8,R091611 Ärztezentrum Solothurn ,500
10535935,10535935,Ullrich,Murat,,,8/13/1935,m,DE,Fridhag,4,4614,Hägendorf,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"HOSPITAL COMFORT BONUS,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL COMFORT BONUS,SANA,TOP,","KVGO,VVG,VVG,VVG,","481.25,438.3,23.8,35.45,",978.8,A291511 Küenzi Erich,300
10556686,10556686,Migel Rodriguez,Jose,,,5/12/1953,m,DE,Föhrenweg,11,5746,Walterswil SO,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana PREMED-24,"CURA,HOSPITAL ECO,SANA,TOP,","Helsana PREMED-24,CURA,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","503.35,25.45,15.85,23.8,35.45,",603.9,  ,300
10627246,10627246,Maurer,Maja,41984390570,Maja.Maurer@mymail.com,10/19/1975,w,DE,Grünigerstrasse,1,8608,Bubikon,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BASIS Standard,"HOSPITAL ECO,PREVEA Unfall,Risiko-Invaliditätsversicherung,Risiko-Lebensversicherung,SALARIA VVG,TOP,","Helsana BASIS Standard,HOSPITAL ECO,PREVEA Unfall,Risiko-Invaliditätsversicherung,Risiko-Lebensversicherung,SALARIA VVG,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","472.75,3.45,11.5,22.4,5,22.55,20.5,",558.15,  ,300
10711087,10711087,Eroglu,Serbet,,,9/5/1958,w,IT,Via Cantonale,110,6818,Melano,CH,Standardzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banca dello Stato del Cantone Ticino,Helsana BeneFit PLUS Hausarzt,"CURA,HOSPITAL Halbprivat,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,CURA,HOSPITAL Halbprivat,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","583.25,18.8,172.9,29.15,37.35,",841.45,G179121 Gerber Pietro,300
10718884,10718884,Rapse,Lmawang Tenzin,,,2/19/1932,m,IT,Via Saliciolo,17,6598,Tenero,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banca dello Stato del Cantone Ticino,Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","648.65,",648.65,  ,300
10753483,10753483,Al Dukh Ulallah,Laurent,,,5/9/1939,m,IT,Via Taverna,13,6724,Ponto Valentino,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,,"Helsana BASIS Standard,","KVGO,","564.05,",564.05,  ,500
10793477,10793477,Miesmer,Dolores,41985491973,Dolores.Miesmer@mymail.com,1/17/1954,w,DE,Amselweg,5,8570,Weinfelden,CH,Drittzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"CURA,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,CURA,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","456.55,32.85,14.35,8.9,31.35,30.95,",574.95,N059920 Hoffmann Gernod,300
10793477,10793477,Miesmer,Dolores,41985491973,Dolores.Miesmer@mymail.com,1/17/1954,w,DE,Amselweg,5,8570,Weinfelden,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"CURA,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,CURA,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,","456.55,32.85,14.35,8.9,31.35,30.95,",574.95,N059920 Hoffmann Gernod,300
10826981,10826981,Marke,Anja Jane,,,6/23/1953,w,FR,Chemin de Changins,81,1266,Duillier,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","524.65,8.8,19.1,29.15,49.15,",630.85,I366322 Markham Genequand Lydia,300
10830954,10830954,Sgarbi,Doroté,,,4/29/1946,w,FR,Avenue de Mont-Goulin,31,1008,Prilly,CH,Standardzahler,QR-Rechnung,,,ASR (Auszahlungsscheck),,,Helsana BeneFit PLUS Hausarzt,,"Helsana BeneFit PLUS Hausarzt,","KVGO,","562.55,",562.55,D211122 Haldy Philippe,300
10871161,10871161,Ilhan,Seval,,,12/4/1932,w,FR,Sentier du Danube,1,1024,Ecublens VD,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Banque Cantonale du Valais,,"CURA,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","CURA,HOSPITAL ECO,PREVEA Unfall,SANA,TOP,","VVG,VVG,VVG,VVG,VVG,","28.05,8.8,19.1,31.35,52.85,",140.15,  ,
10935396,10935396,Cando,Roziline,41985020038,Roziline.Cando@mymail.com,12/30/1961,w,DE,Feldstrasse,44,3930,Visp,CH,Drittzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","439.25,6.25,31.35,25.85,",502.7,K081423 Kaisig-Brunner Christoph,300
10935396,10935396,Cando,Roziline,41985020038,Roziline.Cando@mymail.com,12/30/1961,w,DE,Feldstrasse,44,3930,Visp,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,PostFinance AG,Helsana BeneFit PLUS Hausarzt,"HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,","439.25,6.25,31.35,25.85,",502.7,K081423 Kaisig-Brunner Christoph,300
10966708,10966708,Bosco,Nicola,,,3/30/1946,w,DE,Manescha,13,7240,Küblis,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Hausarzt,"CURA,HOSPITAL ECO,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,CURA,HOSPITAL ECO,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,","431.35,25.55,8.8,31.35,40.35,",537.4,T052118 Schnyder Luzia,300
11063376,11063376,Jaquet,Hans Rudolf,,,5/3/1929,m,DE,Feldeggweg,9,8634,Hombrechtikon,CH,Standardzahler,QR-Rechnung,,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BASIS Standard,"SANA,TOP,","Helsana BASIS Standard,SANA,TOP,","KVGO,VVG,VVG,","410.35,22.6,33.7,",466.65,  ,2500
11063376,11063377,Pop,Diana Mihaela,,,8/18/1933,w,DE,Feldeggweg,9,8634,Hombrechtikon,CH,,,,,,,,Helsana BASIS Standard,"SANA,TOP,","Helsana BASIS Standard,SANA,TOP,","KVGO,VVG,VVG,","410.35,29.8,38.35,",478.5,  ,2500
11078174,11078174,Ngo Inang,Rikka,41985790165,Rikka.Ngo_Inang@mymail.com,10/29/1956,w,DE,Untere Scheugstrasse,3,8707,Uetikon am See,CH,Standardzahler,LSV (Lastschriftverfahren),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,Zürcher Kantonalbank,Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,","KVGO,VVG,","328.75,6.9,",335.65,  ,2500
11078174,11078174,Ngo Inang,Rikka,41985790165,Rikka.Ngo_Inang@mymail.com,10/29/1956,w,DE,Untere Scheugstrasse,3,8707,Uetikon am See,CH,Drittzahler,eBill (EBPPY),E-Billing Yellowbill,,EZAG (Elektronischer Zahlungsauftrag),Bankverbindung,UBS Switzerland AG (formerly Credit Suisse),Helsana BeneFit PLUS Telemedizin,"HOSPITAL ECO,","Helsana BeneFit PLUS Telemedizin,HOSPITAL ECO,","KVGO,VVG,","328.75,6.9,",335.65,  ,2500
11078174,60175975,Ngo Inang,Marie-Elisabeth,,,12/25/2002,w,DE,Untere Scheugstrasse,3,8707,Uetikon am See,CH,,,,,,,,Helsana BeneFit PLUS Hausarzt,"DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","Helsana BeneFit PLUS Hausarzt,DENTAplus,HOSPITAL ECO,Helsana Advocare PLUS,PREVEA Unfall,SANA,TOP,","KVGO,VVG,VVG,VVG,VVG,VVG,VVG,","350.75,22.7,1.75,4.9,9.95,16.25,14.7,",421,R999401 Bonomo Coradi Carla,300
